algo,k_fold,time_running,time,acc,dataset,pc,-1_precision,-1_recall,-1_f1-score,-1_support,1_precision,1_recall,1_f1-score,1_support,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support
MissSVM,4,1671763053,2868.2231249809265,0.32432432432432434,mutagenesis-bonds,Mac-mini.local,0.32432432432432434,1.0,0.489795918367347,12,0.0,0.0,0.0,25,0.16216216216216217,0.5,0.2448979591836735,37,0.10518626734842952,0.32432432432432434,0.15885273028130173,37
MissSVM,5,1671763469,3283.517583847046,0.32432432432432434,mutagenesis-bonds,Mac-mini.local,0.32432432432432434,1.0,0.489795918367347,12,0.0,0.0,0.0,25,0.16216216216216217,0.5,0.2448979591836735,37,0.10518626734842952,0.32432432432432434,0.15885273028130173,37
MissSVM,1,1671766088,2616.8389110565186,0.42105263157894735,mutagenesis-chains,Mac-mini.local,0.36363636363636365,0.9230769230769231,0.5217391304347827,13,0.8,0.16,0.26666666666666666,25,0.5818181818181818,0.5415384615384615,0.39420289855072466,38,0.6507177033492823,0.42105263157894735,0.3539282990083906,38
mi-Net,1,1671755401,66.16138935089111,0.575,fox,DESKTOP-KB1MVGV,0.9,0.5454545454545454,0.679245283018868,33,0.25,0.7142857142857143,0.37037037037037035,7,0.575,0.6298701298701299,0.5248078266946192,40,0.78625,0.575,0.6251921733053809,40
mi-Net,2,1671755467,64.83673739433289,0.575,fox,DESKTOP-KB1MVGV,0.7,0.56,0.6222222222222222,25,0.45,0.6,0.5142857142857143,15,0.575,0.5800000000000001,0.5682539682539682,40,0.60625,0.575,0.5817460317460318,40
mi-Net,3,1671755536,68.61346220970154,0.675,fox,DESKTOP-KB1MVGV,0.8,0.64,0.7111111111111111,25,0.55,0.7333333333333333,0.6285714285714286,15,0.675,0.6866666666666666,0.6698412698412699,40,0.70625,0.675,0.6801587301587302,40
mi-Net,4,1671755602,65.29375076293945,0.5,fox,DESKTOP-KB1MVGV,0.55,0.5,0.5238095238095238,22,0.45,0.5,0.4736842105263158,18,0.5,0.5,0.4987468671679198,40,0.5050000000000001,0.5,0.5012531328320803,40
mi-Net,5,1671755665,62.33869814872742,0.7,fox,DESKTOP-KB1MVGV,0.9,0.6428571428571429,0.75,28,0.5,0.8333333333333334,0.625,12,0.7,0.7380952380952381,0.6875,40,0.78,0.7,0.7125,40
mi-Net,1,1671755730,62.0104079246521,0.6,fox,DESKTOP-KB1MVGV,0.9,0.5625,0.6923076923076923,32,0.3,0.75,0.4285714285714285,8,0.6,0.65625,0.5604395604395604,40,0.78,0.6,0.6395604395604395,40
mi-Net,2,1671755793,62.94709396362305,0.425,fox,DESKTOP-KB1MVGV,0.45,0.42857142857142855,0.4390243902439024,21,0.4,0.42105263157894735,0.41025641025641024,19,0.42500000000000004,0.424812030075188,0.4246404002501563,40,0.42625,0.425,0.42535959974984366,40
